#METADATA,,,,,,,,,,,
#DATA,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Facial Marker","Parent Stimulus","mean","standard deviation","variance"
"thermal_painting_study","2023-10-06 15-29-05","MALE",0,"Default","Stimulus","FaceRecording-1","Interocular Distance","",68.8988396190422,59.5141234441701,3541.93088932792
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Anger","",0.0837942932063448,0.0693309895549445,0.00480678611266782
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Contempt","",0.116641261012546,0.15197992863184,0.0230978987069391
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Disgust","",0.0294567587432445,0.476712765799713,0.227255061076412
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Fear","",0.0165215788616919,0.0209348913726868,0.000438269676786194
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Joy","",0.21151720736398,3.8690679859561,14.9696870799504
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Sadness","",0.0928897861397847,0.424326880358189,0.180053301394512
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Surprise","",0.0433646422731138,0.0884467501508147,0.00782282761224064
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Engagement","",0.62140087816159,5.39872210601149,29.1462003779371
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Valence","",0.523390245736351,4.83680934830464,23.3947246718471
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Sentimentality","",0.387345816311847,0.834637380851328,0.696619557514365
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Confusion","",0.231591757927876,1.821562221175,3.318088925612
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Neutral","",66.5995609181065,46.843852627729,2194.34652900839
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Attention","",52.4292607056059,42.1375481384502,1775.57296312021
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Brow Furrow","",0.0542648602004907,0.707351989289408,0.500346836751682
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Brow Raise","",0.126325398196931,1.0313982535313,1.06378235738742
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Cheek Raise","",0.363294975157165,1.80678967005062,3.26448891180162
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Chin Raise","",0.10777918680358,1.69956284881951,2.8885138770875
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Dimpler","",0.0718523186781786,1.56578904779867,2.45169534220625
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Eye Closure","",12.3633141940715,22.3462118622377,499.353184592011
